id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
10|3|365|Nazca 1944|Autoservicio|Nazca|1944|-34.612145|-58.480997||Santa Rita|1416|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|10:30 a 20:00
10|3|408|Perú 916|Autoservicio|Perú|916|-34.618745|-58.374322||San telmo|1068|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|11:00 a 20:00
10|2|144|La Plata II|Supermercado|Calle 12|1200|-34.923011|-57.949931|||1900|La Plata|AR-B|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|09:00 a 20:00
10|3|755|C.Tribulato 1279 (San Miguel)|Autoservicio|C Tribulato|1279|-34.541507|-58.713798|||1663|San Miguel|AR-B|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|09:00 A 20:00
10|3|479|Avenida Eva Perón 4215|Autoservicio|Avenida Eva Perón|4215|-34.690047|-58.689142|||1722|Merlo|AR-B|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|10:00 a 19:00
10|3|325|Vidal 2357|Autoservicio|Vidal|2357|-34.561751|-58.462283||Belgrano|1428|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|3|423|Av. Castañares 4854|Autoservicio|Av. Castañares|4854|-34.667069|-58.472973||Villa Lugano|1439|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|3|485|Perón 23866|Autoservicio|Av. Pdte. J. D. Perón|23866|-34.665985|-58.699257|||1718|San Antonio de Padua|AR-B|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|Cerrado
10|3|775|ANGEL GALLARDO 499|Autoservicio|Angel Gallardo|499|-34.604698|-58.437856|||1405|Ciudad Autónoma de Buenos Aires|AR-C|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|10:30 A 20:00
10|3|623|Av. Rivadavia 2520|Autoservicio|Av. Rivadavia|2520|-34.610019|-58.402456||Once|1034|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|3|524|Bernardo Irigoyen 746|Autoservicio|Bernardo de Irigoyen|746|-34.608190|-58.953570|||1749|General Rodríguez|AR-B|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|10:00 a 20:00
10|3|621|Avellaneda 1034|Autoservicio|Av. Avellaneda|1034|-34.617216|-58.445240||Caballito|1405|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|09:00 a 20:00
10|3|488|Av. Belgrano 1562|Autoservicio|Av. Belgrano|1562|-34.613680|-58.388254||Monserrat|1093|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|11:00 a 20:00
10|3|555|Güemes 4159|Autoservicio|Güemes|4159|-34.584804|-58.419019||Palermo|1425|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|3|213|Paraguay 919|Autoservicio|Paraguay|919|-34.597675|-58.380133||Retiro|1057|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|11:00 a 20:00
10|3|781|Gabriel Mistral 3153|Autoservicio|Gabriel Mistral|3153|-34.589234|-58.504504|||1419|Ciudad Autónoma de Buenos Aires|AR-C|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|11:00 A 20:00
10|3|676|Chile 701|Autoservicio|Chile|701|-34.616166|-58.376096||Monserrat|1069|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|11:00 a 20:00
10|1|229|Pergamino|Hipermercado|Santiago del Estero|1351|-33.900993|-60.551755|||2702|Pergamino|AR-B|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|09:00 a 20:00
10|1|8|La Plata|Hipermercado|Camino Gral. Belgrano|0|-34.893655|-57.996156|E/514 y 517||1900|La Plata|AR-B|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00
10|3|719|Proxi Yerbal 2701|Autoservicio|Yerbal|2701|-34.628547|-58.466674|||1406|Ciudad Autónoma de Buenos Aires|AR-C|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|10:30 a 20:00
10|2|141|Formosa|Hipermercado|España|198|-26.181410|-58.166895|||3600|Formosa|AR-P|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|Cerrado
10|2|264|Paraná (México)|Supermercado|México|404|-31.725619|-60.533681|Esquina Tucumán|Centro - Parque|3100|Paraná|AR-E|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 13:00 y 18:00 a 20:00
10|3|436|Paraná 6543|Autoservicio|Paraná|6543|-34.525713|-58.548663|||1642|Villa Adelina|AR-B|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|09:00 a 20:00
10|2|143|Río Gallegos|Hipermercado|Av. Dr. Néstor Kirchner|742|-51.622680|-69.212840|||9400|Río Gallegos|AR-Z|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|10:00 a 20:00
10|3|554|Chilavert 6280|Autoservicio|Chilavert|6280|-34.685119|-58.474576||Villa Riachuelo|1439|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|09:30 a 20:00
10|1|219|Caballito|Hipermercado|Av. Donato Alvarez|1351|-34.611087|-58.460584|||1416|Ciudad Autónoma de Buenos Aires|AR-C|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00
10|3|726|Lisandro de Latorre 199|Autoservicio|Av. Lisandro de Latorre|199|-34.641224|-58.521055||Liniers|1440|Ciudad Autónoma de Buenos Aires|AR-C|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|07:30 a 20:00|10:00 a 20:00
10|3|789|DUARTE Q. 1851|Autoservicio|DUARTE Q.|1851|-31.411817|-64.209985|||5002|Córdoba|AR-X|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|10:30 A 21:00
10|3|473|9 de Julio 46-50|Supermercado|9 de Julio|46|-34.648760|-58.618429|||1704|Ramos Mejía|AR-B|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|09:30 a 20:00
10|1|180|Rio Grande II|Hipermercado|Perú|76|-53.774139|-67.721621|||9420|Río Grande|AR-V|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00|09:00 a 20:00
10|3|531|Arévalo 1736|Autoservicio|Arévalo|1736|-34.580624|-58.440150||Palermo|1425|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|3|462|12 de Octubre 520|Autoservicio|12 de Octubre|520|-34.729681|-58.263922||Quilmes|1878|Quilmes|AR-B|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|Cerrado
10|3|658|Larrazábal 265|Autoservicio|Av. Larrazábal|265|-34.641982|-58.514266||Villa Luro|1408|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|3|376|Jonte 3709|Autoservicio|Álvarez Jonte|3709|-34.613367|-58.493678||Villa del Parque|1407|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|2|150|Vidt|Supermercado|Santa Fe|3368|-34.587468|-58.412707|||1425|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00
10|3|357|Sarmiento 1592|Autoservicio|Sarmiento|1592|-34.605506|-58.389230||Congreso|1042|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|1|2|Vicente López|Hipermercado|Av. del Libertador|215|-34.532302|-58.468176|||1638|Vicente López|AR-B|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|08:30 a 20:00|09:00 a 20:00
10|3|560|B. Mitre 1751|Autoservicio|Bartolomé Mitre|1751|-34.607887|-58.391361||Congreso|1037|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|10:00 a 19:00
10|3|429|Independencia 4731|Supermercado|Independencia|4731|-34.550588|-58.554484|||1650|Villa Ballester|AR-B|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|10:00 a 20:00
10|3|747|Proxi Cabrera 4106|Autoservicio|Cabrera|4106|-34.595999|-58.424252|||1186|Ciudad Autónoma de Buenos Aires|AR-C|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|07:00 A 22:00|10:30 A 20:00
10|3|599|Blanco Encalada 4470|Autoservicio|Blanco Encalada|4470|-34.571795|-58.479950||Villa Urquiza|1431|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|11:00 a 20:00
10|3|656|Viamonte 170|Autoservicio|Viamonte|170|-34.599509|-58.369906||San Nicolas|1053|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|10:00 a 19:00
10|3|764|Av. San Lorenzo 480/84|Autoservicio|Av. San Lorenzo|480|-31.425267|-64.179609|||5000|Córdoba|AR-X|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|07:00 A 21:00|10:30 A 21:00
10|3|772|Lavalleja 49|Autoservicio|Lavalleja|49|-31.413448|-64.192041|||5000|Córdoba|AR-X|10:00 A 18:00|10:00 A 18:00|10:00 A 18:00|10:00 A 18:00|10:00 A 18:00|10:00 A 18:00|10:30 A 21:00
10|3|670|Hidalgo 92|Autoservicio|Hidalgo|92|-34.617774|-58.438367||Caballito|1405|Ciudad Autónoma de Buenos Aires|AR-C|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|09:00 a 20:00
10|3|299|Arenales 975|Autoservicio|Arenales|975|-34.594016|-58.381012||Retiro|1061|Ciudad Autónoma de Buenos Aires|AR-C|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|07:00 a 20:00|10:00 a 19:00
